Re                            | Brutos
----------------------------------------------------------------------------------------------------
the: 5815                     | the: 5412
and: 3085                     | and: 2794
i: 3038                       | of: 2724
to: 2826                      | to: 2702
of: 2781                      | a: 2575
a: 2700                       | I: 2533
in: 1826                      | in: 1706
that: 1767                    | that: 1557
it: 1749                      | was: 1361
you: 1577                     | his: 1096
he: 1486                      | is: 1073
was: 1412                     | you: 1034
his: 1159                     | he: 1014
is: 1147                      | it: 977
my: 1007                      | my: 901
have: 931                     | have: 895
with: 877                     | with: 843
as: 863                       | had: 807
had: 831                      | as: 776
at: 782                       | which: 753
which: 778                    | at: 737
for: 752                      | for: 698
not: 664                      | be: 610
but: 655                      | not: 605
be: 644                       | from: 485
me: 635                       | upon: 460
we: 539                       | said: 447
this: 533                     | but: 439
there: 517                    | me: 414
from: 512                     | we: 413
said: 486                     | this: 409
upon: 467                     | been: 385
holmes: 466                   | very: 370
so: 450                       | her: 366
him: 434                      | your: 359
her: 430                      | “I: 349
she: 426                      | by: 338
all: 409                      | were: 336
your: 405                     | on: 334
very: 400                     | an: 329
no: 400                       | all: 320
been: 393                     | are: 319
on: 391                       | so: 316
what: 391                     | would: 313
s: 384                        | she: 305
one: 378                      | It: 290
by: 376                       | no: 286
then: 367                     | one: 283
are: 358                      | could: 280
were: 349                     | has: 277
an: 338                       | there: 275
would: 327                    | out: 272
out: 323                      | into: 272
when: 323                     | The: 271
man: 305                      | He: 264
up: 304                       | what: 264
do: 303                       | or: 259
could: 287                    | Mr.: 259
has: 286                      | when: 257
if: 282                       | little: 257
into: 275                     | who: 253
mr: 275                       | him: 253
or: 275                       | will: 251
who: 274                      | up: 249
will: 271                     | some: 227
little: 269                   | do: 217
some: 245                     | should: 206
now: 234                      | down: 204
see: 232                      | may: 201
down: 230                     | Holmes: 198
may: 213                      | our: 194
should: 211                   | man: 193
our: 211                      | if: 189
well: 201                     | see: 184
they: 201                     | am: 181
can: 189                      | shall: 170
am: 185                       | must: 168
us: 184                       | can: 165
over: 183                     | about: 163
about: 176                    | over: 162
more: 175                     | than: 160
think: 174                    | any: 157
know: 171                     | only: 155
must: 171                     | more: 151
shall: 171                    | other: 143
room: 171                     | came: 142
before: 168                   | they: 140
any: 165                      | before: 140
other: 164                    | know: 137
only: 163                     | You: 136
come: 162                     | think: 132
than: 161                     | two: 128
did: 153                      | us: 126
time: 151                     | did: 126
two: 148                      | Holmes,: 126
them: 147                     | “It: 124
came: 146                     | There: 121
how: 145                      | might: 118
door: 144                     | come: 117
here: 140                     | “You: 112
back: 139                     | such: 110
good: 137                     | just: 110
face: 128                     | it.: 110
just: 126                     | much: 107
might: 126                    | back: 106
where: 126                    | heard: 103
matter: 125                   | where: 102
yes: 125                      | made: 102
much: 121                     | time: 102
house: 120                    | But: 100
hand: 120                     | found: 99
such: 118                     | “And: 99
way: 118                      | Sherlock: 96
night: 118                    | how: 96
case: 117                     | now: 95
heard: 113                    | their: 95
found: 110                    | own: 94
away: 109                     | it,: 93
made: 109                     | never: 92
never: 108                    | then: 92
nothing: 108                  | after: 90
however: 108                  | like: 90
quite: 107                    | quite: 89
day: 107                      | We: 89
right: 102                    | however,: 89
sherlock: 101                 | most: 88
morning: 101                  | good: 87
own: 101                      | through: 85
after: 99                     | them: 84
tell: 99                      | away: 84
go: 99                        | tell: 84
gutenberg: 98                 | took: 84
t: 97                         | She: 84
like: 97                      | saw: 84
their: 97                     | me,: 83
most: 95                      | its: 83
last: 95                      | And: 83
say: 94                       | him.: 82
through: 93                   | Project: 80
work: 92                      | go: 80
left: 92                      | face: 79
oh: 90                        | without: 79
its: 89                       | way: 79
project: 89                   | St.: 79
saw: 89                       | nothing: 78
miss: 88                      | Holmes.: 78
yet: 88                       | few: 77
asked: 88                     | Miss: 77
long: 88                      | make: 76
eyes: 87                      | left: 76
side: 87                      | small: 75
took: 87                      | every: 75
once: 86                      | matter: 75
first: 86                     | door: 75
street: 83                    | find: 74
father: 83                    | last: 74
these: 83                     | take: 74
too: 82                       | you,: 74
without: 81                   | me.: 74
st: 81                        | A: 73
round: 81                     | “The: 73
every: 81                     | until: 73
young: 81                     | long: 73
small: 81                     | young: 73
watson: 81                    | say: 72
lady: 80                      | case: 72
find: 80                      | As: 72
still: 80                     | “But: 72
take: 79                      | he,: 69
friend: 79                    | Then: 68
sir: 78                       | these: 68
myself: 77                    | first: 67
few: 77                       | “Well,: 67
thought: 77                   | put: 67
make: 76                      | then,: 66
why: 76                       | once: 65
off: 75                       | If: 65
